Title,DOI,Citations
The Stanford CoreNLP Natural Language Processing Toolkit,10.3115/v1/P14-5010,2924
A Convolutional Neural Network for Modelling Sentences,10.3115/v1/P14-1062,1756
Learning Sentiment-Specific Word Embedding for Twitter Sentiment Classification,10.3115/v1/P14-1146,590
Adaptive Recursive Neural Network for Target-dependent Twitter Sentiment Classification,10.3115/v1/P14-2009,537
"Don’t count, predict! A systematic comparison of context-counting vs. context-predicting semantic vectors",10.3115/v1/P14-1023,436
Dependency-Based Word Embeddings,10.3115/v1/P14-2050,354
Automatic Keyphrase Extraction: A Survey of the State of the Art,10.3115/v1/P14-1119,249
Information Extraction over Structured Data: Question Answering with Freebase,10.3115/v1/P14-1090,228
Incremental Joint Extraction of Entity Mentions and Relations,10.3115/v1/P14-1038,217
Semantic Parsing for Single-Relation Question Answering,10.3115/v1/P14-2105,191
Semantic Parsing via Paraphrasing,10.3115/v1/P14-1133,189
Towards a General Rule for Identifying Deceptive Opinion Spam,10.3115/v1/P14-1147,181
Fast and Robust Neural Network Joint Models for Statistical Machine Translation,10.3115/v1/P14-1129,134
Improving Lexical Embeddings with Semantic Knowledge,10.3115/v1/P14-2089,99
Learning to Automatically Solve Algebra Word Problems,10.3115/v1/P14-1026,99
Learning Semantic Hierarchies via Word Embeddings,10.3115/v1/P14-1113,96
Political Ideology Detection Using Recursive Neural Networks,10.3115/v1/P14-1105,86
Aspect Extraction with Automated Prior Knowledge Learning,10.3115/v1/P14-1033,78
Building Sentiment Lexicons for All Major Languages,10.3115/v1/P14-2063,77
Learning Grounded Meaning Representations with Autoencoders,10.3115/v1/P14-1068,73
Multilingual Models for Compositional Distributed Semantics,10.3115/v1/P14-1006,70
Depeche Mood: a Lexicon for Emotion Analysis from Crowd Annotated News,10.3115/v1/P14-2070,65
A Recursive Recurrent Neural Network for Statistical Machine Translation,10.3115/v1/P14-1140,65
Tailoring Continuous Word Representations for Dependency Parsing,10.3115/v1/P14-2131,62
"Open-Source Tools for Morphology, Lemmatization, POS Tagging and Named Entity Recognition",10.3115/v1/P14-5003,60
Context-aware Learning for Sentence-level Sentiment Analysis with Posterior Regularization,10.3115/v1/P14-1031,60
Representation Learning for Text-level Discourse Parsing,10.3115/v1/P14-1002,60
Nonparametric Method for Data-driven Image Captioning,10.3115/v1/P14-2097,59
Max-Margin Tensor Neural Network for Chinese Word Segmentation,10.3115/v1/P14-1028,56
Weakly Supervised User Profile Extraction from Twitter,10.3115/v1/P14-1016,55
Knowledge-Based Question Answering as Machine Translation,10.3115/v1/P14-1091,55
The effect of wording on message propagation: Topic- and author-controlled natural experiments on Twitter,10.3115/v1/P14-1017,51
Metaphor Detection with Cross-Lingual Model Transfer,10.3115/v1/P14-1024,50
A Discriminative Graph-Based Parser for the Abstract Meaning Representation,10.3115/v1/P14-1134,49
Comparing Automatic Evaluation Measures for Image Description,10.3115/v1/P14-2074,48
Bilingually-constrained Phrase Embeddings for Machine Translation,10.3115/v1/P14-1011,47
Inferring User Political Preferences from Streaming Communications,10.3115/v1/P14-1018,47
"Real-Time Detection, Tracking, and Monitoring of Automatically Discovered Events in Social Media",10.3115/v1/P14-5007,46
Graph Ranking for Collective Named Entity Disambiguation,10.3115/v1/P14-2013,42
Predicting Instructor’s Intervention in MOOC forums,10.3115/v1/P14-1141,42
Discourse Complements Lexical Semantics for Non-factoid Answer Reranking,10.3115/v1/P14-1092,42
"Toward Future Scenario Generation: Extracting Event Causality Exploiting Semantic Relation, Context, and Association Features",10.3115/v1/P14-1093,42
A Linear-Time Bottom-Up Discourse Parser with Constraints and Post-Editing,10.3115/v1/P14-1048,41
Learning Continuous Phrase Representations for Translation Modeling,10.3115/v1/P14-1066,40
Improving Twitter Sentiment Analysis with Topic-Based Mixture Modeling and Semi-Supervised Training,10.3115/v1/P14-2071,39
Is this a wampimuk? Cross-modal mapping between distributional semantics and the visual world,10.3115/v1/P14-1132,33
