Title,DOI,Citations
Transformer-XL: Attentive Language Models beyond a Fixed-Length Context,10.18653/v1/P19-1285,1190
Energy and Policy Considerations for Deep Learning in NLP,10.18653/v1/P19-1355,929
ERNIE: Enhanced Language Representation with Informative Entities,10.18653/v1/P19-1139,513
Multimodal Transformer for Unaligned Multimodal Language Sequences,10.18653/v1/P19-1656,495
Multi-Task Deep Neural Networks for Natural Language Understanding,10.18653/v1/P19-1441,370
What Does BERT Learn about the Structure of Language?,10.18653/v1/P19-1356,370
BERT Rediscovers the Classical NLP Pipeline,10.18653/v1/P19-1452,353
Transfer Learning in Biomedical Natural Language Processing: An Evaluation of BERT and ELMo on Ten Benchmarking Datasets,10.18653/v1/W19-5006,334
What Does BERT Look at? An Analysis of BERT’s Attention,10.18653/v1/W19-4828,332
Learning Attention-based Embeddings for Relation Prediction in Knowledge Graphs,10.18653/v1/P19-1466,308
MELD: A Multimodal Multi-Party Dataset for Emotion Recognition in Conversations,10.18653/v1/P19-1050,308
How Multilingual is Multilingual BERT?,10.18653/v1/P19-1493,295
"Analyzing Multi-Head Self-Attention: Specialized Heads Do the Heavy Lifting, the Rest Can Be Pruned",10.18653/v1/P19-1580,259
ScispaCy: Fast and Robust Models for Biomedical Natural Language Processing,10.18653/v1/W19-5034,257
Learning Deep Transformer Models for Machine Translation,10.18653/v1/P19-1176,246
Attention Guided Graph Convolutional Networks for Relation Extraction,10.18653/v1/P19-1024,214
A Multiscale Visualization of Attention in the Transformer Model,10.18653/v1/P19-3007,201
The Risk of Racial Bias in Hate Speech Detection,10.18653/v1/P19-1163,199
Generating Natural Language Adversarial Examples through Probability Weighted Word Saliency,10.18653/v1/P19-1103,196
COMET: Commonsense Transformers for Automatic Knowledge Graph Construction,10.18653/v1/P19-1470,194
GraphRel: Modeling Text as Relational Graphs for Joint Entity and Relation Extraction,10.18653/v1/P19-1136,194
Is Attention Interpretable?,10.18653/v1/P19-1282,170
Towards Empathetic Open-domain Conversation Models: A New Benchmark and Dataset,10.18653/v1/P19-1534,169
Right for the Wrong Reasons: Diagnosing Syntactic Heuristics in Natural Language Inference,10.18653/v1/P19-1334,163
