Title,DOI,Citations
Effective Approaches to Attention-based Neural Machine Translation,10.18653/v1/D15-1166,3479
A Neural Attention Model for Abstractive Sentence Summarization,10.18653/v1/D15-1044,1003
Document Modeling with Gated Recurrent Neural Network for Sentiment Classification,10.18653/v1/D15-1167,837
A large annotated corpus for learning natural language inference,10.18653/v1/D15-1075,816
Distant Supervision for Relation Extraction via Piecewise Convolutional Neural Networks,10.18653/v1/D15-1203,556
Classifying Relations via Long Short Term Memory Networks along Shortest Dependency Paths,10.18653/v1/D15-1206,307
Modeling Relation Paths for Representation Learning of Knowledge Bases,10.18653/v1/D15-1082,305
Representing Text for Joint Embedding of Text and Knowledge Bases,10.18653/v1/D15-1174,274
Deep Convolutional Neural Network Textual Features and Multiple Kernel Learning for Utterance-level Multimodal Sentiment Analysis,10.18653/v1/D15-1303,274
WikiQA: A Challenge Dataset for Open-Domain Question Answering,10.18653/v1/D15-1237,272
An Improved Non-monotonic Transition System for Dependency Parsing,10.18653/v1/D15-1162,234
Evaluation methods for unsupervised word embeddings,10.18653/v1/D15-1036,225
Semantically Conditioned LSTM-based Natural Language Generation for Spoken Dialogue Systems,10.18653/v1/D15-1199,222
Multi-Perspective Sentence Similarity Modeling with Convolutional Neural Networks,10.18653/v1/D15-1181,191
Named Entity Recognition for Chinese Social Media with Jointly Trained Embeddings,10.18653/v1/D15-1064,191
ASTD: Arabic Sentiment Tweets Dataset,10.18653/v1/D15-1299,185
Fine-grained Opinion Mining with Recurrent Neural Networks and Word Embeddings,10.18653/v1/D15-1168,172
Finding Function in Form: Compositional Character Models for Open Vocabulary Word Representation,10.18653/v1/D15-1176,160
PhraseRNN: Phrase Recursive Neural Network for Aspect-based Sentiment Analysis,10.18653/v1/D15-1298,142
Long Short-Term Memory Neural Networks for Chinese Word Segmentation,10.18653/v1/D15-1141,133
LCSTS: A Large Scale Chinese Short Text Summarization Dataset,10.18653/v1/D15-1229,129
Semantic Relation Classification via Convolutional Neural Networks with Simple Negative Sampling,10.18653/v1/D15-1062,126
Joint Entity Recognition and Disambiguation,10.18653/v1/D15-1104,123
